Year,Actual,Local_Newton_Forward,Local_Newton_Backward,Local_Lagrange,Local_Poly_Regression
1988,0.1627178192138672,0.1627178192138672,2.950368821620941,-1605632.0,0.2533179466044169
1989,0.4495675265789032,0.4495675265789032,-3.252386599779129,65536.0,0.3640385530123013
1990,0.30271247029304504,0.30271247029304504,-0.6588563024997711,-65536.0,0.40575593603105653
1991,0.5060288906097412,0.5060288906097412,5.238620817661285,-2916352.0,0.3948640945282851
1992,0.1816565990447998,0.1816565990447998,-4.147422820329666,-876544.0,0.16928703007308415
1993,-0.15155474841594696,-0.15155474841594696,4.288362666964531,-2686976.0,0.09122370539870081
1994,0.35450664162635803,0.35450664162635803,-1.0218438506126404,327680.0,0.06768759109434613
1995,0.14970524609088898,0.14970524609088898,0.4180500954389572,4718592.0,0.29484321820465015
1996,0.47577887773513794,0.47577887773513794,-1.8636812567710876,458752.0,0.46170807229879124
1997,0.5179722309112549,0.5179722309112549,2.841410458087921,458752.0,0.4667066606447039
1998,0.49109360575675964,0.49109360575675964,3.7752486765384674,688128.0,0.4633754332715175
1999,0.1746734380722046,0.1746734380722046,-4.230300724506378,-4259840.0,0.28344703566492635
2000,0.31361278891563416,0.31361278891563416,5.771696954965591,2899968.0,0.3835234220474314
2001,0.8727068901062012,0.8727068901062012,-4.6887205839157104,-983040.0,0.5903711950817667
2002,0.5668973326683044,0.5668973326683044,8.473093092441559,-7929856.0,0.8193121507634856
2003,0.956479549407959,0.956479549407959,-5.19182014465332,-524288.0,0.765843850693533
2004,0.5325446128845215,0.5325446128845215,2.040858507156372,13238272.0,0.7907252439592052
2005,1.211456060409546,1.211456060409546,0.9901725053787231,655360.0,0.9688525111515286
2006,0.8883580565452576,0.8883580565452576,2.962089478969574,-3538944.0,0.910476392288229
2007,0.7456204295158386,0.7456204295158386,-2.5348020195961,-6881280.0,0.8752391300289145
2008,0.7273656725883484,0.7273656725883484,-0.3230438828468323,-8060928.0,0.8477595000168978
2009,1.0131391286849976,1.0131391286849976,0.4879343509674072,-5799936.0,0.8162152396265048
2010,0.7505367398262024,0.7505367398262024,0.7505367398262024,-7307264.0,0.8140301826325331
2011,0.9842430949211121,-14.693395256996155,7.551733374595642,-7274496.0,0.8915501300777705
2012,1.0175817012786865,-106.70217430591583,56.21890461444855,-7372800.0,1.1160428502729949
2013,0.9974821209907532,-445.3414947986603,255.8051997423172,-7700480.0,1.5716980787969737
2014,0.9360817074775696,-1408.9926262497897,866.7945956587791,-7274496.0,2.359627518496466
2015,1.1743627786636353,-3730.4277819991103,2419.7668412327766,-8257536.0,3.597864839486218
2016,1.2267037630081177,-8698.067644059658,5883.76247292757,-7405568.0,5.4213656791489715
2017,1.3096736669540405,-18421.161229729652,12893.08808732033,-7536640.0,7.982007642135445
2018,1.2635141611099243,-36167.628285586834,26041.302056133743,-8093696.0,11.448590300364373
2019,1.3655438423156738,-66783.30439448357,49251.12086939812,-7602176.0,16.006835193022454
